id,condition,slider_value,hypothesis,hypothesis_type,slider_response_type_collapsed,slider_value_normalized,slider_value_norm_2,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,action_response_collapsed,action_response
12,learning,50,button,prior,single_action,0.307,0.693,chrome,1870,600,1920,1080,FALSE,how we would go about coming to a definitive conclusion after figuring out the instructions to a toy.,"no other comment, other than i tried my best.",28,m,english,1709.973,436.087,3,single_action,handle
12,learning,63,handle,prior,single_action,0.387,0.693,chrome,1870,600,1920,1080,FALSE,how we would go about coming to a definitive conclusion after figuring out the instructions to a toy.,"no other comment, other than i tried my best.",28,m,english,1709.973,436.087,3,single_action,handle
12,learning,50,both,prior,both_actions,0.307,0.307,chrome,1870,600,1920,1080,FALSE,how we would go about coming to a definitive conclusion after figuring out the instructions to a toy.,"no other comment, other than i tried my best.",28,m,english,1709.973,436.087,3,single_action,handle
13,presentation,37,button,prior,single_action,0.333,0.667,chrome,1342,929,1920,1080,FALSE,if you're willing to gamble that it's not bothmusiclight and only trigger one of the inputs.,,27,m,english,219.206,22.69,3,both_actions,both
13,presentation,37,handle,prior,single_action,0.333,0.667,chrome,1342,929,1920,1080,FALSE,if you're willing to gamble that it's not bothmusiclight and only trigger one of the inputs.,,27,m,english,219.206,22.69,3,both_actions,both
13,presentation,37,both,prior,both_actions,0.333,0.333,chrome,1342,929,1920,1080,FALSE,if you're willing to gamble that it's not bothmusiclight and only trigger one of the inputs.,,27,m,english,219.206,22.69,3,both_actions,both
14,performance,59,button,prior,single_action,0.349,0.58,chrome,1470,759,1536,864,FALSE,how we learn,no,44,m,english,311.708,18.015,2,both_actions,both
14,performance,39,handle,prior,single_action,0.231,0.58,chrome,1470,759,1536,864,FALSE,how we learn,no,44,m,english,311.708,18.015,2,both_actions,both
14,performance,71,both,prior,both_actions,0.42,0.42,chrome,1470,759,1536,864,FALSE,how we learn,no,44,m,english,311.708,18.015,2,both_actions,both
15,learning,67,handle,prior,single_action,0.307,0.711,chrome,1375,826,1440,900,FALSE,figuring out which design is more intuitive,,39,female,english,251.069,47.192,3,single_action,button
15,learning,63,both,prior,both_actions,0.289,0.289,chrome,1375,826,1440,900,FALSE,figuring out which design is more intuitive,,39,female,english,251.069,47.192,3,single_action,button
15,learning,88,button,prior,single_action,0.404,0.711,chrome,1375,826,1440,900,FALSE,figuring out which design is more intuitive,,39,female,english,251.069,47.192,3,single_action,button
16,learning,13,handle,prior,single_action,0.102,0.219,chrome,1749,883,1366,768,FALSE,accuracy of a job,,34,male,english,398.588,33.112,2,both_actions,both
16,learning,15,button,prior,single_action,0.117,0.219,chrome,1749,883,1366,768,FALSE,accuracy of a job,,34,male,english,398.588,33.112,2,both_actions,both
16,learning,100,both,prior,both_actions,0.781,0.781,chrome,1749,883,1366,768,FALSE,accuracy of a job,,34,male,english,398.588,33.112,2,both_actions,both
17,learning,100,handle,prior,single_action,0.333,0.667,chrome,996,1228,1080,1920,FALSE,using logic and process of elimination to predict outcome,no comments,64,f,english,407.597,72.927,3,single_action,button
17,learning,100,both,prior,both_actions,0.333,0.333,chrome,996,1228,1080,1920,FALSE,using logic and process of elimination to predict outcome,no comments,64,f,english,407.597,72.927,3,single_action,button
17,learning,100,button,prior,single_action,0.333,0.667,chrome,996,1228,1080,1920,FALSE,using logic and process of elimination to predict outcome,no comments,64,f,english,407.597,72.927,3,single_action,button
18,learning,24,both,prior,both_actions,0.162,0.162,chrome,1091,703,1280,800,FALSE,i don't know,everything seemed to work well,33,f,english,228.034,50.725,3,single_action,button
18,learning,83,button,prior,single_action,0.561,0.838,chrome,1091,703,1280,800,FALSE,i don't know,everything seemed to work well,33,f,english,228.034,50.725,3,single_action,button
18,learning,41,handle,prior,single_action,0.277,0.838,chrome,1091,703,1280,800,FALSE,i don't know,everything seemed to work well,33,f,english,228.034,50.725,3,single_action,button
19,presentation,70,handle,prior,single_action,0.34,0.699,chrome,1635,787,1280,720,FALSE,not really sure,no,46,f,english,225.095,26.57,3,both_actions,both
19,presentation,74,button,prior,single_action,0.359,0.699,chrome,1635,787,1280,720,FALSE,not really sure,no,46,f,english,225.095,26.57,3,both_actions,both
19,presentation,62,both,prior,both_actions,0.301,0.301,chrome,1635,787,1280,720,FALSE,not really sure,no,46,f,english,225.095,26.57,3,both_actions,both
20,learning,89,handle,prior,single_action,0.332,0.627,chrome,1299,637,1366,768,FALSE,?,na,25,female,english,202.262,43.502,2,both_actions,both
20,learning,100,both,prior,both_actions,0.373,0.373,chrome,1299,637,1366,768,FALSE,?,na,25,female,english,202.262,43.502,2,both_actions,both
20,learning,79,button,prior,single_action,0.295,0.627,chrome,1299,637,1366,768,FALSE,?,na,25,female,english,202.262,43.502,2,both_actions,both
21,learning,35,button,prior,single_action,0.354,0.687,chrome,392,600,412,732,TRUE,not sure,nope,27,f,english,285.838,60.183,3,single_action,button
21,learning,33,handle,prior,single_action,0.333,0.687,chrome,392,600,412,732,TRUE,not sure,nope,27,f,english,285.838,60.183,3,single_action,button
21,learning,31,both,prior,both_actions,0.313,0.313,chrome,392,600,412,732,TRUE,not sure,nope,27,f,english,285.838,60.183,3,single_action,button
22,learning,77,handle,prior,single_action,0.326,0.576,chrome,1390,600,1440,900,FALSE,no sure,no,38,m,english,346.701,10.048,3,single_action,handle
22,learning,100,both,prior,both_actions,0.424,0.424,chrome,1390,600,1440,900,FALSE,no sure,no,38,m,english,346.701,10.048,3,single_action,handle
22,learning,59,button,prior,single_action,0.25,0.576,chrome,1390,600,1440,900,FALSE,no sure,no,38,m,english,346.701,10.048,3,single_action,handle
23,performance,52,both,prior,both_actions,0.338,0.338,chrome,1217,615,1600,900,FALSE,"i have no idea, some kind of reasoning ",,44,f,english ,168.33,17.239,1,both_actions,both
23,performance,51,handle,prior,single_action,0.331,0.662,chrome,1217,615,1600,900,FALSE,"i have no idea, some kind of reasoning ",,44,f,english ,168.33,17.239,1,both_actions,both
23,performance,51,button,prior,single_action,0.331,0.662,chrome,1217,615,1600,900,FALSE,"i have no idea, some kind of reasoning ",,44,f,english ,168.33,17.239,1,both_actions,both
24,learning,81,both,prior,both_actions,0.379,0.379,chrome,1357,777,1280,800,FALSE,not too sure exactly. ,everything worked and was interesting. thank you!,33,male,english,208.032,42.273,3,single_action,button
24,learning,65,button,prior,single_action,0.304,0.621,chrome,1357,777,1280,800,FALSE,not too sure exactly. ,everything worked and was interesting. thank you!,33,male,english,208.032,42.273,3,single_action,button
24,learning,68,handle,prior,single_action,0.318,0.621,chrome,1357,777,1280,800,FALSE,not too sure exactly. ,everything worked and was interesting. thank you!,33,male,english,208.032,42.273,3,single_action,button
25,presentation,44,button,prior,single_action,0.326,0.667,firefox,1533,600,1600,900,FALSE,how people make estimates based on only certain information.,"no, i do not.",45,f,english,306.109,25.35,3,both_actions,both
25,presentation,45,both,prior,both_actions,0.333,0.333,firefox,1533,600,1600,900,FALSE,how people make estimates based on only certain information.,"no, i do not.",45,f,english,306.109,25.35,3,both_actions,both
25,presentation,46,handle,prior,single_action,0.341,0.667,firefox,1533,600,1600,900,FALSE,how people make estimates based on only certain information.,"no, i do not.",45,f,english,306.109,25.35,3,both_actions,both
26,presentation,33,button,prior,single_action,0.314,0.638,chrome,1299,637,1366,768,FALSE,i think that this task was about using logic to narrow down options to the most likely option,thanks for the opportunity to participate and good luck with your research!,51,m,english,204.262,17.502,3,both_actions,both
26,presentation,34,handle,prior,single_action,0.324,0.638,chrome,1299,637,1366,768,FALSE,i think that this task was about using logic to narrow down options to the most likely option,thanks for the opportunity to participate and good luck with your research!,51,m,english,204.262,17.502,3,both_actions,both
26,presentation,38,both,prior,both_actions,0.362,0.362,chrome,1299,637,1366,768,FALSE,i think that this task was about using logic to narrow down options to the most likely option,thanks for the opportunity to participate and good luck with your research!,51,m,english,204.262,17.502,3,both_actions,both
27,learning,100,handle,prior,single_action,0.333,0.667,chrome,1853,974,1920,1080,FALSE,understanding instructions,no,25,f,english,109.051,22.35,1,single_action,button
27,learning,100,button,prior,single_action,0.333,0.667,chrome,1853,974,1920,1080,FALSE,understanding instructions,no,25,f,english,109.051,22.35,1,single_action,button
27,learning,100,both,prior,both_actions,0.333,0.333,chrome,1853,974,1920,1080,FALSE,understanding instructions,no,25,f,english,109.051,22.35,1,single_action,button
28,presentation,20,both,prior,both_actions,0.159,0.159,chrome,1837,922,1920,1080,FALSE,perceptions,interesting,39,f,english,373.283,34.581,3,both_actions,both
28,presentation,8,button,prior,single_action,0.063,0.841,chrome,1837,922,1920,1080,FALSE,perceptions,interesting,39,f,english,373.283,34.581,3,both_actions,both
28,presentation,98,handle,prior,single_action,0.778,0.841,chrome,1837,922,1920,1080,FALSE,perceptions,interesting,39,f,english,373.283,34.581,3,both_actions,both
29,learning,89,handle,prior,single_action,0.809,0.918,chrome,1150,850,1280,800,FALSE,logic,n/a,27,m,english,321.476,175.022,3,single_action,button
29,learning,9,both,prior,both_actions,0.082,0.082,chrome,1150,850,1280,800,FALSE,logic,n/a,27,m,english,321.476,175.022,3,single_action,button
29,learning,12,button,prior,single_action,0.109,0.918,chrome,1150,850,1280,800,FALSE,logic,n/a,27,m,english,321.476,175.022,3,single_action,button
30,presentation,47,handle,prior,single_action,0.318,0.993,chrome,1680,885,1920,1080,FALSE,i'm not entirely certain,"no further comment, at this time",34,m,english,131.613,20.457,3,single_action,button
30,presentation,100,button,prior,single_action,0.676,0.993,chrome,1680,885,1920,1080,FALSE,i'm not entirely certain,"no further comment, at this time",34,m,english,131.613,20.457,3,single_action,button
30,presentation,1,both,prior,both_actions,0.007,0.007,chrome,1680,885,1920,1080,FALSE,i'm not entirely certain,"no further comment, at this time",34,m,english,131.613,20.457,3,single_action,button
31,performance,98,handle,prior,single_action,0.45,0.541,firefox,1199,869,1280,1024,FALSE,"i am not sure, maybe how we read directions and apply them.",no,63,f,english,249.862,14.876,3,single_action,handle
31,performance,100,both,prior,both_actions,0.459,0.459,firefox,1199,869,1280,1024,FALSE,"i am not sure, maybe how we read directions and apply them.",no,63,f,english,249.862,14.876,3,single_action,handle
31,performance,20,button,prior,single_action,0.092,0.541,firefox,1199,869,1280,1024,FALSE,"i am not sure, maybe how we read directions and apply them.",no,63,f,english,249.862,14.876,3,single_action,handle
32,performance,54,handle,prior,single_action,0.342,0.677,chrome,340,600,360,640,TRUE,paying attention and understanding directions,"no, it worked fine. ",35,m,english,200.79,24.538,3,both_actions,both
32,performance,53,button,prior,single_action,0.335,0.677,chrome,340,600,360,640,TRUE,paying attention and understanding directions,"no, it worked fine. ",35,m,english,200.79,24.538,3,both_actions,both
32,performance,51,both,prior,both_actions,0.323,0.323,chrome,340,600,360,640,TRUE,paying attention and understanding directions,"no, it worked fine. ",35,m,english,200.79,24.538,3,both_actions,both
33,performance,35,handle,prior,single_action,0.212,0.685,chrome,1128,932,2048,1152,FALSE,how people understand the workings of systems.,no,32,m,english,166.953,14.36,3,both_actions,both
33,performance,78,button,prior,single_action,0.473,0.685,chrome,1128,932,2048,1152,FALSE,how people understand the workings of systems.,no,32,m,english,166.953,14.36,3,both_actions,both
33,performance,52,both,prior,both_actions,0.315,0.315,chrome,1128,932,2048,1152,FALSE,how people understand the workings of systems.,no,32,m,english,166.953,14.36,3,both_actions,both
34,performance,56,button,prior,single_action,0.275,0.578,chrome,1636,828,1366,768,FALSE,logical thinking/reading comprehension,,30,m,english,121.112,15.517,3,both_actions,both
34,performance,62,handle,prior,single_action,0.304,0.578,chrome,1636,828,1366,768,FALSE,logical thinking/reading comprehension,,30,m,english,121.112,15.517,3,both_actions,both
34,performance,86,both,prior,both_actions,0.422,0.422,chrome,1636,828,1366,768,FALSE,logical thinking/reading comprehension,,30,m,english,121.112,15.517,3,both_actions,both
35,learning,100,both,prior,both_actions,0.98,0.98,chrome,1299,675,1366,768,FALSE,figuring out a music box toy,everything worked great,37,f,english,229.413,34.973,3,both_actions,both
35,learning,1,handle,prior,single_action,0.01,0.02,chrome,1299,675,1366,768,FALSE,figuring out a music box toy,everything worked great,37,f,english,229.413,34.973,3,both_actions,both
35,learning,1,button,prior,single_action,0.01,0.02,chrome,1299,675,1366,768,FALSE,figuring out a music box toy,everything worked great,37,f,english,229.413,34.973,3,both_actions,both
36,presentation,100,button,prior,single_action,0.422,0.844,chrome,1217,615,1600,900,FALSE,"i think it had something to do with logic, like, possibilites and exclusions.","this was fun. it worked fine, and the music and graphic were nice.",50,f,english,267.243,26.484,3,both_actions,both
36,presentation,100,handle,prior,single_action,0.422,0.844,chrome,1217,615,1600,900,FALSE,"i think it had something to do with logic, like, possibilites and exclusions.","this was fun. it worked fine, and the music and graphic were nice.",50,f,english,267.243,26.484,3,both_actions,both
36,presentation,37,both,prior,both_actions,0.156,0.156,chrome,1217,615,1600,900,FALSE,"i think it had something to do with logic, like, possibilites and exclusions.","this was fun. it worked fine, and the music and graphic were nice.",50,f,english,267.243,26.484,3,both_actions,both
37,performance,82,both,prior,both_actions,0.48,0.48,chrome,1022,600,1088,615,FALSE,i don't know.,no issues.,35,f,english,560.767,37.198,3,both_actions,both
37,performance,25,handle,prior,single_action,0.146,0.52,chrome,1022,600,1088,615,FALSE,i don't know.,no issues.,35,f,english,560.767,37.198,3,both_actions,both
37,performance,64,button,prior,single_action,0.374,0.52,chrome,1022,600,1088,615,FALSE,i don't know.,no issues.,35,f,english,560.767,37.198,3,both_actions,both
38,learning,100,button,prior,single_action,0.333,0.667,firefox,1533,739,1600,900,FALSE,reasoning,no,32,f,english,120.042,13.586,3,both_actions,both
38,learning,100,handle,prior,single_action,0.333,0.667,firefox,1533,739,1600,900,FALSE,reasoning,no,32,f,english,120.042,13.586,3,both_actions,both
38,learning,100,both,prior,both_actions,0.333,0.333,firefox,1533,739,1600,900,FALSE,reasoning,no,32,f,english,120.042,13.586,3,both_actions,both
39,performance,29,both,prior,both_actions,0.177,0.177,chrome,1853,987,1920,1080,FALSE,seeing which toy music box the consumer would chose.,none.,1991,m,english,360.3,75.609,3,single_action,button
39,performance,64,handle,prior,single_action,0.39,0.823,chrome,1853,987,1920,1080,FALSE,seeing which toy music box the consumer would chose.,none.,1991,m,english,360.3,75.609,3,single_action,button
39,performance,71,button,prior,single_action,0.433,0.823,chrome,1853,987,1920,1080,FALSE,seeing which toy music box the consumer would chose.,none.,1991,m,english,360.3,75.609,3,single_action,button
40,performance,83,handle,prior,single_action,0.329,0.659,chrome,1174,925,1920,1080,FALSE,problem solving,all worked fine!,33,f,english,217.813,38.743,3,both_actions,both
40,performance,83,button,prior,single_action,0.329,0.659,chrome,1174,925,1920,1080,FALSE,problem solving,all worked fine!,33,f,english,217.813,38.743,3,both_actions,both
40,performance,86,both,prior,both_actions,0.341,0.341,chrome,1174,925,1920,1080,FALSE,problem solving,all worked fine!,33,f,english,217.813,38.743,3,both_actions,both
41,performance,53,button,prior,single_action,0.338,0.669,chrome,1299,637,1366,768,FALSE,logic,no,36,f,english,250.661,76.54,3,both_actions,both
41,performance,52,both,prior,both_actions,0.331,0.331,chrome,1299,637,1366,768,FALSE,logic,no,36,f,english,250.661,76.54,3,both_actions,both
41,performance,52,handle,prior,single_action,0.331,0.669,chrome,1299,637,1366,768,FALSE,logic,no,36,f,english,250.661,76.54,3,both_actions,both
42,presentation,78,handle,prior,single_action,0.305,0.609,chrome,1299,637,1366,768,FALSE,not sure,no,57,male,english,213.477,43.363,3,both_actions,both
42,presentation,78,button,prior,single_action,0.305,0.609,chrome,1299,637,1366,768,FALSE,not sure,no,57,male,english,213.477,43.363,3,both_actions,both
42,presentation,100,both,prior,both_actions,0.391,0.391,chrome,1299,637,1366,768,FALSE,not sure,no,57,male,english,213.477,43.363,3,both_actions,both
43,presentation,100,button,prior,single_action,0.333,0.667,firefox,1299,635,1366,768,FALSE,i'm not sure,no,27,m,english,297.117,32.24,3,both_actions,both
43,presentation,100,handle,prior,single_action,0.333,0.667,firefox,1299,635,1366,768,FALSE,i'm not sure,no,27,m,english,297.117,32.24,3,both_actions,both
43,presentation,100,both,prior,both_actions,0.333,0.333,firefox,1299,635,1366,768,FALSE,i'm not sure,no,27,m,english,297.117,32.24,3,both_actions,both
44,performance,100,both,prior,both_actions,0.667,0.667,chrome,1299,637,1366,768,FALSE,chices,no,49,f,english,303.203,29.915,3,both_actions,both
44,performance,26,handle,prior,single_action,0.173,0.333,chrome,1299,637,1366,768,FALSE,chices,no,49,f,english,303.203,29.915,3,both_actions,both
44,performance,24,button,prior,single_action,0.16,0.333,chrome,1299,637,1366,768,FALSE,chices,no,49,f,english,303.203,29.915,3,both_actions,both
45,performance,70,both,prior,both_actions,0.446,0.446,firefox,1299,600,1366,768,FALSE,memory??,no,69,f,english,305.92,42.242,3,both_actions,both
45,performance,83,button,prior,single_action,0.529,0.554,firefox,1299,600,1366,768,FALSE,memory??,no,69,f,english,305.92,42.242,3,both_actions,both
45,performance,4,handle,prior,single_action,0.025,0.554,firefox,1299,600,1366,768,FALSE,memory??,no,69,f,english,305.92,42.242,3,both_actions,both
46,learning,26,button,prior,single_action,0.338,0.662,chrome,1296,637,1093,615,FALSE,unclear,good hit,62,male,english,195.99,37.338,3,single_action,button
46,learning,25,handle,prior,single_action,0.325,0.662,chrome,1296,637,1093,615,FALSE,unclear,good hit,62,male,english,195.99,37.338,3,single_action,button
46,learning,26,both,prior,both_actions,0.338,0.338,chrome,1296,637,1093,615,FALSE,unclear,good hit,62,male,english,195.99,37.338,3,single_action,button
47,presentation,69,button,prior,single_action,0.379,0.549,chrome,1134,763,1280,768,FALSE,i'm unsure. my thought process wasn't really logical in selecting which one option would tell me what the toy did - it was more like a gratification thing. pulling the handle seems like the first activity a person would do on that toy.,"everything was fine, thanks.",50,f,english,179.006,9.678,3,single_action,handle
47,presentation,31,handle,prior,single_action,0.17,0.549,chrome,1134,763,1280,768,FALSE,i'm unsure. my thought process wasn't really logical in selecting which one option would tell me what the toy did - it was more like a gratification thing. pulling the handle seems like the first activity a person would do on that toy.,"everything was fine, thanks.",50,f,english,179.006,9.678,3,single_action,handle
47,presentation,82,both,prior,both_actions,0.451,0.451,chrome,1134,763,1280,768,FALSE,i'm unsure. my thought process wasn't really logical in selecting which one option would tell me what the toy did - it was more like a gratification thing. pulling the handle seems like the first activity a person would do on that toy.,"everything was fine, thanks.",50,f,english,179.006,9.678,3,single_action,handle
48,presentation,35,handle,prior,single_action,0.31,0.664,chrome,1250,803,1920,1080,FALSE,risk and prediction,,48,m,english,135.133,16.938,3,both_actions,both
48,presentation,38,both,prior,both_actions,0.336,0.336,chrome,1250,803,1920,1080,FALSE,risk and prediction,,48,m,english,135.133,16.938,3,both_actions,both
48,presentation,40,button,prior,single_action,0.354,0.664,chrome,1250,803,1920,1080,FALSE,risk and prediction,,48,m,english,135.133,16.938,3,both_actions,both
49,presentation,100,both,prior,both_actions,0.662,0.662,firefox,1300,644,1366,768,FALSE,decesions,interesting survey. no problems.,59,f,english,476.089,61.056,1,both_actions,both
49,presentation,1,handle,prior,single_action,0.007,0.338,firefox,1300,644,1366,768,FALSE,decesions,interesting survey. no problems.,59,f,english,476.089,61.056,1,both_actions,both
49,presentation,50,button,prior,single_action,0.331,0.338,firefox,1300,644,1366,768,FALSE,decesions,interesting survey. no problems.,59,f,english,476.089,61.056,1,both_actions,both
50,learning,13,button,prior,single_action,0.106,0.878,firefox,1521,781,1600,900,FALSE,logic issues,n/a,56,m,english,231.613,60.039,3,single_action,handle
50,learning,15,both,prior,both_actions,0.122,0.122,firefox,1521,781,1600,900,FALSE,logic issues,n/a,56,m,english,231.613,60.039,3,single_action,handle
50,learning,95,handle,prior,single_action,0.772,0.878,firefox,1521,781,1600,900,FALSE,logic issues,n/a,56,m,english,231.613,60.039,3,single_action,handle
51,performance,16,handle,prior,single_action,0.11,0.452,chrome,923,1211,1707,960,FALSE,see how people decide how to make sure something will work,no,34,m,english,173.455,23.587,3,both_actions,both
51,performance,80,both,prior,both_actions,0.548,0.548,chrome,923,1211,1707,960,FALSE,see how people decide how to make sure something will work,no,34,m,english,173.455,23.587,3,both_actions,both
51,performance,50,button,prior,single_action,0.342,0.452,chrome,923,1211,1707,960,FALSE,see how people decide how to make sure something will work,no,34,m,english,173.455,23.587,3,both_actions,both
52,performance,80,both,prior,both_actions,0.432,0.432,chrome,1336,693,1440,900,FALSE,logic,none,62,male,english,242.312,46.761,3,single_action,handle
52,performance,29,button,prior,single_action,0.157,0.568,chrome,1336,693,1440,900,FALSE,logic,none,62,male,english,242.312,46.761,3,single_action,handle
52,performance,76,handle,prior,single_action,0.411,0.568,chrome,1336,693,1440,900,FALSE,logic,none,62,male,english,242.312,46.761,3,single_action,handle
53,learning,31,handle,prior,single_action,0.242,0.742,chrome,1299,600,1366,768,FALSE,measuring logic,no,46,m,english,184.33,26.037,3,single_action,handle
53,learning,33,both,prior,both_actions,0.258,0.258,chrome,1299,600,1366,768,FALSE,measuring logic,no,46,m,english,184.33,26.037,3,single_action,handle
53,learning,64,button,prior,single_action,0.5,0.742,chrome,1299,600,1366,768,FALSE,measuring logic,no,46,m,english,184.33,26.037,3,single_action,handle
54,presentation,100,button,prior,single_action,0.333,0.667,chrome,1470,734,1536,864,FALSE,i have no idea.  how well i remember maybe?,nothing was broken,58,f,english,342.07,38.447,3,both_actions,both
54,presentation,100,both,prior,both_actions,0.333,0.333,chrome,1470,734,1536,864,FALSE,i have no idea.  how well i remember maybe?,nothing was broken,58,f,english,342.07,38.447,3,both_actions,both
54,presentation,100,handle,prior,single_action,0.333,0.667,chrome,1470,734,1536,864,FALSE,i have no idea.  how well i remember maybe?,nothing was broken,58,f,english,342.07,38.447,3,both_actions,both
55,learning,65,both,prior,both_actions,0.293,0.293,chrome,1331,691,1536,864,FALSE,making decisions,n/a,22,female,english,200.439,39.069,2,single_action,handle
55,learning,88,button,prior,single_action,0.396,0.707,chrome,1331,691,1536,864,FALSE,making decisions,n/a,22,female,english,200.439,39.069,2,single_action,handle
55,learning,69,handle,prior,single_action,0.311,0.707,chrome,1331,691,1536,864,FALSE,making decisions,n/a,22,female,english,200.439,39.069,2,single_action,handle
56,presentation,100,both,prior,both_actions,0.333,0.333,chrome,1281,561,1366,768,FALSE,idk,no,34,male,english,176.077,26.948,3,both_actions,both
